,id_recipe,Step_Count,Step Description
0,6829129,1,"Bring water to a boil in a saucepan over high heat. Stir in sugar, cinnamon stick, and star anise. Remove from heat and add tea bags. Let steep for 3 minutes (or according to package directions for strongest tea). Remove tea bags. Let cool to room temperature, about 1 hour. Remove and discard cinnamon stick and star anise."
1,6829129,2,"Stir together tea mixture, orange juice, whiskey, and lemon juice in a punch bowl or pitcher. Chill until cold, about 2 hours or up to overnight."
2,6829129,3,Garnish with tangerine slices and additional star anise. Ladle into ice-filled glasses. Top each with a tangerine slice.
3,6566490,1,"In a punch bowl, combine pineapple juice concentrate, orange juice concentrate and vodka. Pour in lemon-lime soda. Float cherries and orange slices on top. Add ice before serving."
4,6663228,1,Gather all ingredients.Dotdash Meredith Food Studios
5,6663228,2,"Stir pineapple juice, orange juice, 151 proof rum, dark rum, coconut-flavored rum, lime juice, and grenadine syrup together in a punch bowl.Dotdash Meredith Food Studios"
6,6663228,3,"Float orange slices, lime slices, and lemon slices in the punch.Dotdash Meredith Food Studios"
7,6663228,4,"Ladle the punch into ice filled glasses, or chill the punch in the refrigerator until ready to serve.DOTDASH MEREDITH FOOD STUDIOS"
8,6738485,1,"Pour orange drink, pink lemonade, pineapple-orange juice blend, vodka, rum, and fruit punch into a large punch bowl or container; stir well."
9,6736791,1,Heat port wine in a large stockpot with a lid over medium heat until just below the simmering point. Add bourbon and rum; heat until just below simmering. Save the bottles and their caps for storing leftover glögg.
10,6736791,2,"Meanwhile, place cinnamon stick, orange peel, cloves, and cardamom pods in the center of the cheesecloth square. Gather edges of the cheesecloth and tie with kitchen twine to secure; set aside."
11,6736791,3,"When wine mixture is very hot but not boiling, carefully light it with a long-handled match. Wearing a heatproof cooking mitt, carefully pour sugar into the flames; let mixture burn for 1 minute. Place the lid on the stockpot to extinguish the flames and turn off the heat. Let mixture cool, covered, about 10 minutes."
12,6736791,4,"Add the cheesecloth spice bundle, raisins, and almonds to warm wine mixture; let it cool to room temperature, about 1 hour."
13,6736791,5,Strain cooled glögg and reserve the raisins and almonds.
14,6736791,6,"To serve: Pour glögg into a saucepan and warm over medium-low heat until hot but not simmering, about 5 minutes. Ladle 3 ounces of warmed glögg into a small coffee cup or a small Swedish-style glögg mug, and garnish each serving with a few reserved raisins and almonds."
15,6737801,1,"Combine ginger ale, fruit punch, and pineapple juice together in a punch bowl; add scoops of sherbet into the punch. Wait for the sherbet to begin melting, approximately 10 minutes; stir gently and serve."
16,6738212,1,Gather all ingredients.Dotdash Meredith Food Studios
17,6738212,2,Combine fruit punch and orange juice in a punch bowl.Dotdash Meredith Food Studios
18,6738212,3,Slowly pour ginger ale down the side of the bowl to retain carbonation.Dotdash Meredith Food Studios
19,6738212,4,Ready to serve. Enjoy!Dotdash Meredith Food Studios
20,6597012,1,Steep tea bags in 2 cups boiling water for 10 minutes.
21,6597012,2,"Meanwhile, place remaining 3 cups boiling water in a 9x13-inch pan. Stir in sugar until dissolved. Stir in brandy, lemonade concentrate, and orange juice concentrate until combined."
