,id_recipe,Step_Count,Step Description
0,6808558,1,"Place vodka, grapefruit juice, pomegranate juice, vermouth, cream of balsamic, cranberry juice, and peppercorns in a cocktail shaker. Fill shaker with ice and shake well; strain into a martini glass. Sprinkle with orange zest."
1,7966103,1,Sprinkle chili-lime seasoning onto a plate. Moisten the rim of a glass with the lime wedge. Press the moistened rim into the seasoning. Fill glass with ice.
2,7966103,2,"Fill a cocktail shaker half-full with ice. Add tamarind paste, tequila, agave nectar, lime juice and triple sec to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds. Strain mixture into the glass. Garnish with the lime wedge."
3,7963518,1,"Place ice in a blender and crush for 15 to 20 seconds. Add fresh peaches, peach schnapps, and whipped vodka. Blend until smooth."
4,7963518,2,Rim glass with frozen whipped topping. Pour cocktail into glass and serve garnished with peach slice.
5,7814457,1,"Fill a rocks glass with ice. Add orange juice and tequila and top with mineral water. Garnish with orange wedge. If desired, sprinkle a pinch of salt over top."
6,7686376,1,Moisten the rim of two margarita glasses with honey. Stir cinnamon and sugar together on a plate. Lightly dip the moistened rim of each glass into cinnamon and sugar mixture.
7,7686376,2,"Fill a cocktail shaker with fresh ice. Add apple cider, tequila, cinnamon whiskey, and butterscotch schnapps. Squeeze 2 limes into the shaker. Cover and shake vigorously until the outside of the shaker has frosted."
8,7686376,3,Fill 2 glasses with ice; strain mixture into glasses. Garnish with apple slices.
9,7642408,1,Fill a large red wine glass with fresh ice almost to the top.
10,7642408,2,"Add whole spices to the glass. These should be chosen to compliment the botanicals in the gin, and some common choices include juniper berries, peppercorns, star anise, cardamom pods, cloves, and cinnamon sticks. For a more pronounced flavor, whole spices can be “bruised” by pressing with your fingers, or the flat of a knife before adding."
11,7642408,3,"Pour in gin. Then very slowly and gently pour in tonic, so as not to lose the carbonation. For best results, use a “Mediterranean style” tonic instead of the classic Indian style, since they tend to be less bitter, and often include flavors like rosemary and lemon."
12,7642408,4,"Add slices and/or zest from the citrus fruit(s) of your choice. Use a cocktail stirrer or spoon to gently poke the ingredients down, and mix the drink. Do not stir vigorously!"
13,7642408,5,"Push in the fresh herb sprigs. Common choices are basil, thyme, mint, rosemary, or tarragon. For a stronger, more fragrant effect, slap the herbs between your hands, or squeeze between your fingers to activate the essential oils."
14,7642408,6,Serve 3 to 5 minutes after mixing to give drink time to chill thoroughly.Chef John
15,7570310,1,"Place mangoes, rum, lime juice, and agave syrup in blender cup and blend until smooth."
