,id_recipe,Step_Count,Step Description
0,7489045,1,"For taco seasoning, stir paprika, garlic powder, cumin, onion powder, chili powder, oregano, and salt together in a small bowl; set aside."
1,7489045,2,"Heat oil in a large skillet over medium-high heat; cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Stir in onion and green pepper; cook and stir with oil and juices from browned meat until much of the liquid has evaporated, about 2 minutes more."
2,7489045,3,Stir 1/2 can diced tomatoes with chilies and Mexican-style corn into skillet. Season beef mixture to taste with prepared taco seasoning mix.
3,7489045,4,"Stir together the remaining 1/2 can diced tomatoes with chilies and refried beans in a microwave-safe bowl. Microwave on High until heated through, stirring every 30 seconds, 1 to 3 minutes."
4,7489045,5,"To assemble nachos, lay half of tortilla chips in a single layer on a microwave-safe plate, then drop teaspoons of refried beans onto chips, followed by meat mixture and shredded cheese. Repeat with remaining chips, beans, meat, and cheese to make a second layer."
5,7489045,6,"Microwave on High until cheese is melted and nachos are warm, 2 to 3 minutes. Top with sour cream, salsa, olives, jalapenos, and green onion as desired."
6,6664642,1,Preheat the oven broiler. Set the oven rack about 6 inches from the heat source. Line a baking sheet with aluminum foil.
7,6664642,2,Gather all ingredients.Allredipes/Will Dickey
8,6664642,3,"Cook and stir ground beef in a skillet over medium heat until meat is crumbly and no longer pink, 5 to 10 minutes. Drain excess grease. Stir in water and taco seasoning mix; simmer until beef mixture has thickened, 8 to 10 minutes.Allredipes/Will Dickey"
9,6664642,4,"Spread tortilla chips on the prepared baking sheet. Top with Cheddar cheese, then dot with refried beans and ground beef mixture.Allrecipes/Will Dickey"
10,6664642,5,"Broil in the preheated oven until cheese is melted, 3 to 5 minutes. Top nachos with olives, salsa, sour cream, green onions, and jalapeño peppers.DOTDASH MEREDITH FOOD STUDIOS"
11,6649456,1,"Prepare the steak: Season both sides of steak with salt and peppers. Heat oil in a skillet over medium-high heat. Cook steak, turning occasionally, to medium doneness, about 6 minutes per side. An instant-read thermometer inserted into the center should read 135 to 140 degrees F (60 degrees C). Transfer meat to a bowl to let it rest."
12,6649456,2,Pour a splash of water into the skillet; stir to scrape up browned bits and deglaze the pan. Pour this liquid over meat. Allow meat to cool completely.
13,6649456,3,"When meat is completely cool, slice thickly (about 1/2 inch) with the grain, then cut into thinner strips. Dice by cutting into pieces against the grain. Transfer chopped steak back to the bowl; toss with the pan drippings."
14,6649456,4,"Make the beans: Melt bacon fat over medium heat in a pot. Add onion and a pinch of salt; cook and stir until softened, 5 to 6 minutes. Stir in oregano. Add pinto beans and water. Bring back to a simmer and cook until onions are soft, about 5 more minutes. Reduce heat to low."
15,6649456,5,Mash beans with a potato masher to your desired consistency. Add additional liquid if necessary to achieve your preferred texture. Add the remaining salt to taste. Remove from heat.
16,6649456,6,Preheat the oven to 450 degrees F (230 degrees C).
17,6649456,7,Assemble nachos: Place tortilla chips about 2 or 3 deep in a heat-proof pan. (You may need more than one pan.) Top chips with spoonfuls of beans and a generous handful of steak pieces. Sprinkle with grated cheese.
18,6649456,8,"Bake in the preheated oven until cheese is melted and edges start to brown, about 10 minutes."
19,6649456,9,"Scatter tomato, avocado, onion, and jalapeño over the top. Drizzle nachos with sour cream and garnish with chopped cilantro."
20,6580400,1,Preheat the oven to 350 degrees F (175 degrees C).
21,6580400,2,"Combine refried beans, garlic powder, onion powder, and cumin in a bowl; mix well."
22,6580400,3,Pour tortilla chips onto a baking sheet in one layer. Spoon bean mixture over tortilla chips. Top with Colby-Monterey Jack cheese and jalapeños.
23,6580400,4,"Bake in the preheated oven until cheese is melted, about 5 minutes."
24,6603556,1,Gather all ingredients.Dotdash Meredith Food Studios
25,6603556,2,Preheat the oven to 350 degrees F (175 degrees C).
26,6603556,3,Heat oil in a deep 12-inch skillet over medium heat. Add white parts of the green onions and garlic; cook and stir until onions are just tender.Dotdash Meredith Food Studios
27,6603556,4,"Mix in shredded chicken, salt, and pepper; toss until well coated. Stir in salsa.Dotdash Meredith Food Studios"
28,6603556,5,Arrange tortilla chips on a large baking sheet. Spoon chicken mixture over tortilla chips; top with shredded cheese and tomato.Dotdash Meredith Food Studios
29,6603556,6,"Bake in the preheated oven until cheese has melted, about 10 minutes. Remove from heat and sprinkle with green onion tops before serving.Dotdash Meredith Food Studios"
30,6597245,1,Preheat an oven to 350 degrees F (175 degrees C).
31,6597245,2,"Mix together the onion, tomatoes, parsley, olive oil, lime juice, salt and pepper in a bowl."
32,6597245,3,"Spread tortilla chips in a single layer onto a baking sheet, and spoon about 1 teaspoon of the tomato salsa onto each chip. Spread 1 cup of Cheddar cheese over the nachos, top the chips with another teaspoon or so of salsa, and top with the remaining 1 cup of cheese."
33,6597245,4,"Bake the nachos in the preheated oven until the cheese is bubbling, about 5 minutes. Serve hot with sour cream, guacamole, and any remaining salsa on the side for dipping the chips."
34,6578575,1,Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil.
35,6578575,2,Spread tortilla chips onto the prepared baking sheet.
36,6578575,3,"Mix Monterey Jack cheese, shrimp, mayonnaise, chipotle peppers in adobo sauce, cilantro, minced onion, cumin, and black pepper together in a bowl. Spoon mixture onto the tortilla chips."
37,6578575,4,"Bake in the preheated oven for 3 minutes. Turn on the broiler and broil nachos until lightly browned, 3 to 4 minutes. Allow nachos to sit at room temperature for about 2 minutes before serving."
38,6586358,1,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x9 inch baking dish.
39,6586358,2,"Place the chicken on a microwave-safe plate, cover with a paper towel, and place in a microwave oven. Cook on high power until the chicken is no longer pink and cooked through, about 10 minutes. Cool, and use a knife to shred the chicken. Set aside."
40,6586358,3,Place the refried beans in a saucepan over medium heat. Stir until thoroughly heated.
41,6586358,4,"Layer half the chips, 1/2 cup cheese, and green onions on the bottom of prepared baking dish. Spoon the refried beans over the chip mixture. Sprinkle with another 1/2 cup cheese, and spread with the sour cream. Arrange the shredded chicken over the sour cream layer. Top with the remaining chips and 1/2 cup cheese."
42,6586358,5,"Bake in preheated oven until the cheese melts throughout, 15 to 18 minutes."
